CPF,Nome,Idade,Sexo,Email,Nota_ENEM,Abandono,Semestre,CRA_Segundo_Semestre,CRA_Quarto_Semestre,CRA_Sexto_Semestre
18344976150,Nathan Cunha,23,F,da-costamarcela@example.com,727,False,,5.472315459911753,8.859042646320855,5.957661271969449
86147187376,Vitor Hugo Monteiro,27,F,eduardo31@example.net,724,False,,9.94417948802919,9.373942226942702,5.160330309917974
74145542374,Gustavo da Mata,27,M,novaesmaria@example.net,752,True,3.0,7.406811941086255,5.441070560227287,7.673262784473041
31633024354,Leonardo Cardoso,28,F,bcostela@example.net,683,True,4.0,7.7040180614364235,8.694885026438781,6.279136817795591
95943310123,Maysa Moura,21,M,livia15@example.org,736,True,5.0,5.703679535541412,5.14961326239609,6.499133625966911
68880400731,Emanuella Nogueira,28,F,ana-carolina62@example.net,794,True,4.0,7.790546118776664,6.4833587585459815,6.459785560432218
72931536220,Vinicius Monteiro,19,M,cardosoisabella@example.com,792,True,3.0,9.297693494241594,9.688955778899032,7.064993891874238
90050320773,Ana Carolina Pires,24,M,costaalicia@example.com,755,True,6.0,9.692382206390812,8.711754592146853,7.410054949137124
20349321772,Sra. Manuela Pereira,23,M,moreiralucca@example.com,754,False,,9.793576784813645,8.176699899865763,9.66324533943773
77482311779,Sra. Bárbara Duarte,18,M,ana-julianascimento@example.net,714,True,6.0,8.36848266516467,5.758114764200049,5.307207374991773
33795440010,Pedro Miguel Ramos,27,M,nunescaua@example.net,660,True,4.0,9.754478572601293,5.199407554268793,9.219607919201119
41566014425,Natália Cunha,19,F,rmartins@example.org,704,True,8.0,6.720150531815811,9.824028889230409,8.506270222196076
69910632405,Lívia Monteiro,23,F,marianeda-cunha@example.com,793,True,6.0,6.890186593829643,5.138736514093463,5.393592345696888
45049225208,Guilherme Fogaça,27,F,marcela21@example.com,793,True,1.0,7.559795555690743,8.047947788135735,9.666953795962621
55796764889,Leandro Nunes,21,M,ana-laurada-mata@example.net,761,False,,7.347238269481519,8.20337422461352,8.94867857116875
68621695701,Igor da Mata,21,M,martinsmarcela@example.com,673,True,1.0,8.956467707114246,7.581357086451858,5.4736420778204815
73449846537,Sophia Teixeira,23,M,da-rosaluiz-miguel@example.com,781,True,7.0,7.199746617108062,7.288491891838851,5.186779831754968
80984800123,Sabrina Rezende,23,M,das-nevesstella@example.net,714,True,6.0,5.820233226488506,8.904816874025357,6.85470993527038
31168584366,Alexandre da Cruz,20,F,piresvitoria@example.org,712,False,,7.50849794349483,7.360004331157807,7.404723868151933
83893607441,Kevin Gonçalves,18,M,ericksales@example.net,703,False,,9.534906783292755,8.706171525081082,9.020016283799036
50255404160,Marina Costa,24,M,fernanda89@example.net,772,True,7.0,7.63514848633642,6.5917894543577615,5.992747123325133
97617182328,Letícia Silveira,28,F,pporto@example.net,676,True,6.0,5.635314463364879,5.007229731997941,5.0423493094910485
61689466111,Maria Fernanda Freitas,22,F,bmendes@example.net,713,True,1.0,6.874859890805037,8.680736116638629,7.68967977815281
62498961733,Sra. Milena Cardoso,25,M,zpereira@example.org,761,True,7.0,5.454751691018648,5.576392004260023,9.42970466904849
93852054527,Davi Duarte,18,F,pintojuan@example.com,719,True,7.0,5.1404449127155925,5.231154814604981,7.946846589481385
80847365153,João Mendes,25,M,nogueirabreno@example.com,703,False,,8.888920567949226,7.637562462748211,9.847838920626982
22834450923,Dr. Theo Gomes,26,F,emanuella37@example.org,653,False,,6.560593757046946,7.6740062351045815,9.454026851939098
14190229146,Thiago Viana,25,F,pedro-lucas36@example.com,778,False,,6.337367434701234,8.592163865598728,8.188306128089819
32186886633,Kamilly Gonçalves,22,M,brunaporto@example.org,786,True,3.0,9.082435568922678,9.52583275523753,9.772488236258543
60014989515,Leonardo Ramos,25,F,yagocorreia@example.org,645,False,,5.914273760578702,8.748908851957287,8.954112016095154
46308262325,Otávio Aragão,28,M,luiz-fernando84@example.com,758,False,,9.609530135748884,5.626926296622998,8.172109530593723
52538326193,Rafael Cardoso,26,M,carolina58@example.org,724,False,,7.34059289934201,7.369382009607517,8.150656296928368
74677371366,Maria Cunha,26,M,tda-mota@example.net,715,False,,5.954369689551655,6.530377277021463,7.394855078715322
42830147960,Clarice Castro,28,F,da-luzhelena@example.org,735,False,,5.10995018708059,5.174632084523853,7.497628191393097
99474531553,Sophie Silva,25,F,wnogueira@example.org,715,False,,5.365629917569005,8.15626780064135,8.897849537756574
60180127416,Bernardo Moura,28,F,emanuella23@example.net,645,False,,6.921772961827317,7.212697520805705,6.696564563383761
40906284054,João Gabriel Rocha,20,F,beatrizda-rocha@example.com,766,False,,9.732384600883144,9.738071504891945,7.987846167058747
38159152906,Giovanna Farias,21,F,alicia07@example.com,704,False,,5.029580563256235,9.459558585023526,5.548412621481341
52013584034,Noah Porto,21,M,carolinecostela@example.org,786,True,1.0,6.44131141924538,6.501506521801579,5.760765940269124
